Customer_ID,Customer_Name,Gender,Age,City,State,Registration_Date,Last_Purchase_Date,Total_Orders,Purchase_Frequency,Total_Quantity_Purchased,Average_Basket_Size,Average_Order_Value,Total_Revenue,Customer_Lifetime_Value,Preferred_Category,Preferred_Channel,Customer_Segment,Loyalty_Status,Days_Since_Last_Purchase,Churn_Risk,Churn,Risk_Level
CUST100007,Gina Moore,Male,30,Vadodara,Gujarat,2019-09-23,2025-12-06,5,0.74,10,2,835.65,4178.25,4171.64,Electronics,Online,Low Value,Bronze,204,High,1,High Risk
CUST100009,Ryan Munoz,Male,37,Kochi,Kerala,2019-09-15,2026-02-15,3,0.5,12,4,1138.34,3415.02,3852.12,Fashion,Offline,Low Value,Bronze,133,Medium,1,High Risk
CUST100011,Jamie Arnold,Male,30,Coimbatore,Tamil Nadu,2021-04-12,2025-09-13,2,0.5,6,3,1060.92,2121.84,2755.05,Grocery,Offline,Low Value,Bronze,288,High,1,High Risk
CUST100012,Lisa Hensley,Female,28,Ahmedabad,Gujarat,2021-06-09,2026-02-01,1,0.5,7,7,1356.71,1356.71,3415.45,Home & Kitchen,Offline,Low Value,Bronze,147,Medium,1,High Risk
CUST100025,Judy Baker,Female,26,Bengaluru,Karnataka,2021-05-17,2026-02-23,3,0.59,27,9,890.49,2671.47,2678.37,Grocery,Online,Low Value,Bronze,125,Medium,1,High Risk
CUST100028,Zachary Hicks,Other,38,Guwahati,Assam,2021-06-15,2026-03-24,7,1.39,112,16,3465.45,24258.15,24173.9,Sports,Online,Medium Value,Bronze,96,Medium,1,High Risk
CUST100033,Nathan Maldonado,Female,41,Kanpur,Uttar Pradesh,2022-05-18,2026-06-14,5,1.22,20,4,1553.14,7765.7,7760.89,Electronics,Offline,Low Value,Bronze,14,Low,1,High Risk
CUST100034,Debra Davidson,Male,37,Delhi,Delhi,2023-10-16,2025-11-24,4,1.49,36,9,502.51,2010.04,2008.94,Beauty,Online,Low Value,Bronze,216,High,1,High Risk
CUST100043,Anthony Humphrey,Male,29,Lucknow,Uttar Pradesh,2020-04-18,2025-04-30,8,1.3,72,9,2949.21,23593.68,23680.88,Grocery,Online,Medium Value,Bronze,424,High,1,High Risk
CUST100044,Angelica Tucker,Female,35,Hyderabad,Telangana,2020-12-30,2026-03-26,7,1.28,91,13,5219.58,36537.06,36583.5,Grocery,Offline,Medium Value,Silver,94,Medium,1,High Risk
CUST100051,Danny Morgan,Female,18,Pune,Maharashtra,2020-08-25,2026-03-26,1,0.5,8,8,1451.22,1451.22,4225.52,Fashion,Online,Low Value,Bronze,94,Medium,1,High Risk
CUST100053,Mark Perez,Female,46,Bhopal,Madhya Pradesh,2021-04-17,2026-03-21,4,0.77,28,7,1709.77,6839.08,6819.61,Grocery,Offline,Low Value,Bronze,99,Medium,1,High Risk
CUST100062,Connor West,Female,43,Bhopal,Madhya Pradesh,2021-01-30,2026-01-18,3,0.56,15,5,2093.18,6279.54,6319.03,Home & Kitchen,Online,Low Value,Bronze,161,Medium,1,High Risk
CUST100063,Donald Wright,Other,25,Jaipur,Rajasthan,2019-06-27,2026-06-06,12,1.72,156,13,3162.61,37951.32,38007.08,Electronics,Offline,Medium Value,Silver,22,Low,1,High Risk
CUST100067,Carol Tucker,Female,52,Indore,Madhya Pradesh,2020-07-14,2026-04-07,6,1.01,54,9,2039.91,12239.46,12234.94,Fashion,Offline,Low Value,Bronze,82,Low,1,High Risk
CUST100069,William Baker,Male,42,Mumbai,Maharashtra,2019-04-10,2026-06-14,7,0.97,28,4,496.71,3476.97,3469.29,Sports,Offline,Low Value,Bronze,14,Low,1,High Risk
CUST100070,Jordan Henderson,Male,25,Kanpur,Uttar Pradesh,2022-06-08,2026-06-08,6,1.49,12,2,2403.33,14419.98,14461.1,Sports,Online,Low Value,Bronze,20,Low,1,High Risk
CUST100073,Lauren Daniels,Female,23,Kanpur,Uttar Pradesh,2020-11-05,2025-05-28,3,0.53,12,4,1079.5,3238.5,3218.99,Electronics,Offline,Low Value,Bronze,396,High,1,High Risk
CUST100074,Amy Silva,Female,28,Hyderabad,Telangana,2019-02-27,2025-11-27,1,0.5,6,6,1226.88,1226.88,4487.64,Electronics,Offline,Low Value,Bronze,213,High,1,High Risk
CUST100075,Sarah Moore,Male,18,Delhi,Delhi,2019-01-26,2024-09-07,8,1.08,32,4,1837.0,14696.0,14687.55,Home & Kitchen,Online,Medium Value,Bronze,659,High,1,High Risk
CUST100076,Angela Lopez,Male,57,Patna,Bihar,2020-08-19,2026-04-12,11,1.88,66,6,1036.81,11404.91,11383.02,Beauty,Online,Low Value,Bronze,77,Low,1,High Risk
